,WaferNo,BatchNo,TestDate,ChipID,Model,PFcode,MfgStep,Ith,Vf,Pwr,PwrEOL,SlopeEff,RollingFactor,Vkink,IforVkink,DiffR,Iop2,Pop2,Vop2,ModeECLwave,WLRange,IthRange,SpecChange,LargeIthChange,Warning
9334,18399280,4741000,07/21/15,ET615,G3188-001-107,0:09,1,33.0,1.166,43.8,46.0,0.253,29.44%,1.143,195.1,1.57,0.0,0.0,0.0,1557.8,6.900000000000091,1.7999999999999972,True,False,True
9335,18399280,4741000,07/21/15,ET615,G3188-001-107,0:09:04,1,32.5,1.158,39.4,36.7,0.22,40.89%,1.143,196.7,1.58,0.0,0.0,0.0,1560.5,6.900000000000091,1.7999999999999972,True,False,True
9336,18399280,4741000,07/21/15,ET615,G3188-001-107,0:09:04,1,32.2,1.15,41.3,40.9,0.23399999999999999,35.54%,1.137,200.0,1.531,0.0,0.0,0.0,1559.5,6.900000000000091,1.7999999999999972,True,False,True
9337,18399280,4741000,07/21/15,ET615,G3188-001-107,0:09:04,1,32.3,1.149,41.3,40.8,0.233,35.72%,1.1340000000000001,196.7,1.531,0.0,0.0,0.0,1559.3,6.900000000000091,1.7999999999999972,True,False,True
9338,18399280,4741000,07/21/15,ET615,G3188-001-107,0:09:04,1,32.6,1.1640000000000001,42.1,42.4,0.239,33.77%,1.147,200.0,1.571,0.0,0.0,0.0,1558.6,6.900000000000091,1.7999999999999972,True,False,True
9339,18399280,4741000,10/14/15,ET615,G3188-001-107,0:8:09:4,1,34.0,1.161,36.7,34.5,0.203,41.36%,1.138,191.3,1.575,0.0,0.0,0.0,1553.6,6.900000000000091,1.7999999999999972,True,False,True
9418,18399280,4741000,08/06/15,EU139,G3188-001-104,0:09,1,38.2,1.1740000000000002,44.2,46.5,0.27399999999999997,28.12%,1.18,215.1,1.5759999999999998,0.0,0.0,0.0,1554.5,5.400000000000091,1.5,True,False,True
9419,18399280,4741000,08/06/15,EU139,G3188-001-104,0:09,1,37.6,1.176,44.3,46.6,0.272,28.21%,1.179,213.4,1.587,0.0,0.0,0.0,1559.9,5.400000000000091,1.5,True,False,True
9420,18399280,4741000,08/06/15,EU139,G3188-001-107,0:09,1,37.8,1.175,44.4,47.3,0.27399999999999997,27.23%,1.193,226.7,1.581,0.0,0.0,0.0,1558.9,5.400000000000091,1.5,True,False,True
9421,18399280,4741000,10/15/15,EU139,G3188-001-107,0:09,1,39.1,1.147,42.2,44.0,0.259,29.33%,1.149,209.7,1.465,0.0,0.0,0.0,1557.4,5.400000000000091,1.5,True,False,True
9428,18399280,4741000,07/21/15,EU162,G3188-001-107,0:09,1,29.9,1.1540000000000001,43.9,45.4,0.237,32.99%,1.137,201.7,1.54,0.0,0.0,0.0,1557.0,5.7999999999999545,1.4000000000000021,True,False,True
9429,18399280,4741000,07/21/15,EU162,G3188-001-107,0:09,1,30.0,1.155,44.7,47.1,0.244,31.03%,1.137,201.8,1.541,0.0,0.0,0.0,1559.3,5.7999999999999545,1.4000000000000021,True,False,True
9430,18399280,4741000,10/15/15,EU162,G3188-001-107,0:8:09:4,1,31.3,1.151,39.9,39.7,0.21100000000000002,37.67%,1.128,193.0,1.531,0.0,0.0,0.0,1553.5,5.7999999999999545,1.4000000000000021,True,False,True
9493,18399280,4741000,08/06/15,EX577,G3188-001-104,0:09,1,34.2,1.19,47.3,47.0,0.28600000000000003,31.49%,1.2109999999999999,213.4,1.724,0.0,0.0,0.0,1554.3,3.7000000000000455,1.2999999999999972,True,False,True
9494,18399280,4741000,08/06/15,EX577,G3188-001-107,0:09,1,33.6,1.189,46.2,44.5,0.275,34.38%,1.2209999999999999,220.1,1.7309999999999999,0.0,0.0,0.0,1558.0,3.7000000000000455,1.2999999999999972,True,False,True
9495,18399280,4741000,10/15/15,EX577,G3188-001-107,0:09,1,34.9,1.161,45.1,44.2,0.271,33.36%,1.176,208.1,1.599,0.0,0.0,0.0,1555.2,3.7000000000000455,1.2999999999999972,True,False,True
9292,18399280,4639001,02/20/16,ES129,G3188-001-108,0:08:09,1,31.7,1.34,44.5,46.7,0.248,30.46%,1.31,217.8,2.234,0.0,0.0,0.0,1553.1,2.6000000000001364,0.5999999999999979,True,False,True
9293,18399280,4639001,02/25/16,ES129,G3188-001-108,0:09,1,31.1,1.149,41.6,43.2,0.23,31.62%,1.129,194.7,1.499,0.0,0.0,0.0,1555.7,2.6000000000001364,0.5999999999999979,True,False,True
373770,18399280,4639001,02/20/16,ES129,G3188-001-108,0:08:09,1,31.7,1.34,44.5,46.7,0.248,30.46%,1.31,217.8,2.234,0.0,0.0,0.0,1553.1,2.6000000000001364,0.5999999999999979,True,False,True
373771,18399280,4639001,02/25/16,ES129,G3188-001-108,0:09,1,31.1,1.149,41.6,43.2,0.23,31.62%,1.129,194.7,1.499,0.0,0.0,0.0,1555.7,2.6000000000001364,0.5999999999999979,True,False,True
9240,18399280,4747000,07/30/15,EN616,G3188-001-107,0:09,1,29.8,1.1740000000000002,44.7,46.2,0.248,31.67%,1.156,201.7,1.62,0.0,0.0,0.0,1561.8,8.399999999999864,1.3999999999999986,True,False,True
9241,18399280,4747000,10/14/15,EN616,G3188-001-107,0:08:09,1,31.2,1.177,43.8,45.1,0.23800000000000002,33.52%,1.153,189.5,1.6269999999999998,0.0,0.0,0.0,1553.4,8.399999999999864,1.3999999999999986,True,False,True
10577,18401280,4744000,10/05/15,ET594,G3188-001-108,0:08:09,1,34.4,1.247,51.2,58.9,0.312,20.52%,1.22,206.2,1.801,0.0,0.0,0.0,1545.6,12.100000000000136,1.2999999999999972,True,False,True
10578,18401280,4744000,10/07/15,ET594,G3188-001-108,0:09,1,33.1,1.216,46.9,52.4,0.28,23.24%,1.187,204.7,1.692,0.0,0.0,0.0,1557.7,12.100000000000136,1.2999999999999972,True,False,True
10563,18401280,4640001,02/20/16,ES135,G3188-001-108,0:02,1,35.5,1.567,44.3,57.1,0.272,10.85%,0.0,0.0,2.9339999999999997,0.0,0.0,0.0,1558.6,5.2999999999999545,1.2999999999999972,True,False,True
10564,18401280,4640001,02/26/16,ES135,G3188-001-108,0:08,1,36.8,1.2670000000000001,44.3,57.5,0.276,9.98%,0.0,0.0,1.6869999999999998,0.0,0.0,0.0,1553.3,5.2999999999999545,1.2999999999999972,True,False,True
373793,18401280,4640001,02/20/16,ES135,G3188-001-108,0:02,1,35.5,1.567,44.3,57.1,0.272,10.85%,0.0,0.0,2.9339999999999997,0.0,0.0,0.0,1558.6,5.2999999999999545,1.2999999999999972,True,False,True
373794,18401280,4640001,02/26/16,ES135,G3188-001-108,0:08,1,36.8,1.2670000000000001,44.3,57.5,0.276,9.98%,0.0,0.0,1.6869999999999998,0.0,0.0,0.0,1553.3,5.2999999999999545,1.2999999999999972,True,False,True
10682,18401280,4748000,09/28/15,EU148,G3188-001-108,0:09,1,34.8,1.271,43.1,50.6,0.259,20.09%,1.266,246.7,1.824,0.0,0.0,0.0,1559.7,6.7999999999999545,1.5,True,False,True
10683,18401280,4748000,10/04/15,EU148,G3188-001-108,0:08:09,1,36.3,1.242,44.7,53.4,0.27,18.64%,1.237,246.4,1.692,0.0,0.0,0.0,1552.9,6.7999999999999545,1.5,True,False,True
10922,18401280,4748000,09/27/15,EY167,G3188-001-108,0:08,1,35.8,1.304,45.6,57.7,0.278,13.56%,0.0,0.0,1.83,0.0,0.0,0.0,1553.7,1.2999999999999545,1.6000000000000014,True,False,True
10923,18401280,4748000,10/04/15,EY167,G3188-001-108,0:08,1,37.4,1.2990000000000002,43.0,54.7,0.268,12.51%,0.0,0.0,1.811,0.0,0.0,0.0,1555.0,1.2999999999999545,1.6000000000000014,True,False,True
11672,18402280,4767000,10/26/15,EM106,G3188-001-108,0:08,1,40.8,1.2229999999999999,40.6,50.9,0.249,15.43%,1.2309999999999999,252.9,1.5759999999999998,0.0,0.0,0.0,1553.9,7.2999999999999545,0.7000000000000028,True,False,True
11673,18402280,4767000,12/23/15,EM106,G3188-001-108,0:09:4:4,1,41.5,1.167,30.9,28.0,0.193,44.32%,1.207,228.0,1.64,0.0,0.0,0.0,1561.2,7.2999999999999545,0.7000000000000028,True,False,True
11810,18402280,4767000,10/26/15,EW086,G3188-001-108,0:08,1,40.2,1.188,35.9,44.2,0.214,18.15%,0.0,0.0,1.454,0.0,0.0,0.0,1552.6,10.600000000000136,1.0999999999999943,True,False,True
11811,18402280,4767000,12/23/15,EW086,G3188-001-108,0:09:4:4,1,41.3,1.204,28.9,31.8,0.16899999999999998,32.08%,1.195,243.0,1.527,0.0,0.0,0.0,1563.2,10.600000000000136,1.0999999999999943,True,False,True
11900,18402280,4746000,08/06/15,EY166,G3188-001-107,0:09:04,1,30.8,1.206,41.6,42.1,0.21899999999999997,35.39%,1.185,208.1,1.751,0.0,0.0,0.0,1550.7,9.5,0.9000000000000021,True,False,True
11901,18402280,4746000,10/15/15,EY166,G3188-001-107,0:09,1,29.9,1.15,42.0,43.7,0.21899999999999997,33.24%,1.126,188.0,1.507,0.0,0.0,0.0,1560.2,9.5,0.9000000000000021,True,False,True
12870,18412280,4906000,09/14/15,FF616,G3188-001-108,0:8:4:4,1,35.1,1.305,23.0,29.8,0.141,9.88%,0.0,0.0,1.912,0.0,0.0,0.0,1550.6,19.600000000000136,0.7999999999999972,True,False,True
12871,18412280,4906000,09/17/15,FF616,G3188-001-108,0:04:04,1,35.9,1.4769999999999999,21.2,26.7,0.13,12.18%,0.0,0.0,2.549,0.0,0.0,0.0,1570.2,19.600000000000136,0.7999999999999972,True,False,True
13487,18412280,4910000,08/31/15,HE159,G3188-001-108,0:08,1,39.5,1.411,45.2,56.4,0.282,14.87%,0.0,0.0,2.286,0.0,0.0,0.0,1554.4,5.199999999999818,0.20000000000000284,True,False,True
13488,18412280,4910000,08/31/15,HE159,G3188-001-107,0:02,1,39.3,1.412,44.9,56.2,0.281,15.04%,0.0,0.0,2.291,0.0,0.0,0.0,1559.6,5.199999999999818,0.20000000000000284,True,False,True
13973,18417280,4966000,09/04/15,EV631,G3188-001-108,0:8:4:4,1,36.9,1.486,32.3,40.4,0.196,15.01%,0.0,0.0,2.615,0.0,0.0,0.0,1553.3,10.299999999999955,1.3000000000000043,True,False,True
13974,18417280,4966000,09/05/15,EV631,G3188-001-108,0:04:04,1,38.2,1.475,31.8,38.2,0.193,19.64%,0.0,0.0,2.556,0.0,0.0,0.0,1563.6,10.299999999999955,1.3000000000000043,True,False,True
13908,18417280,4921000,10/21/15,ES152,G3188-001-108,0:08,1,39.1,1.4240000000000002,46.0,59.0,0.28800000000000003,12.15%,0.0,0.0,2.364,0.0,0.0,0.0,1554.5,0.5,1.2999999999999972,True,False,True
13909,18417280,4921000,10/21/15,ES152,G3188-001-108,0:08,1,40.4,1.382,44.3,56.5,0.27699999999999997,12.08%,0.0,0.0,2.1830000000000003,0.0,0.0,0.0,1555.0,0.5,1.2999999999999972,True,False,True
14222,18417280,5078000,09/04/15,FJ625,G3188-001-108,0:08,1,40.9,1.48,36.5,47.5,0.231,10.69%,0.0,0.0,2.597,0.0,0.0,0.0,1531.3,35.600000000000136,0.3999999999999986,True,False,True
14223,18417280,5078000,09/05/15,FJ625,G3188-001-108,0:04:04,1,41.3,1.48,34.1,41.1,0.209,20.40%,0.0,0.0,2.5869999999999997,0.0,0.0,0.0,1566.9,35.600000000000136,0.3999999999999986,True,False,True
14278,18417280,4918000,09/04/15,FU125,G3188-001-108,0:8:5:4:4,1,45.7,1.3459999999999999,31.9,41.5,0.20600000000000002,11.74%,0.0,0.0,2.046,0.0,0.0,0.0,1551.8,14.400000000000091,1.8999999999999986,True,False,True
14279,18417280,4918000,09/05/15,FU125,G3188-001-108,0:5:4:4,1,47.6,1.3419999999999999,29.1,34.3,0.18600000000000003,23.74%,0.0,0.0,2.015,0.0,0.0,0.0,1566.2,14.400000000000091,1.8999999999999986,True,False,True
14367,18417280,4919000,09/04/15,FW108,G3188-001-108,0:08:04,1,41.0,1.475,34.2,43.7,0.213,13.36%,0.0,0.0,2.574,0.0,0.0,0.0,1550.3,17.600000000000136,1.6000000000000014,True,False,True
14368,18417280,4919000,09/05/15,FW108,G3188-001-108,0:04:04,1,42.6,1.464,32.5,38.8,0.19899999999999998,21.52%,0.0,0.0,2.513,0.0,0.0,0.0,1567.9,17.600000000000136,1.6000000000000014,True,False,True
15059,18419280,4926000,09/29/15,ES079,G3188-001-108,0:08:09,1,41.2,1.41,40.8,49.7,0.253,17.92%,1.413,247.9,2.354,0.0,0.0,0.0,1548.8,8.200000000000045,0.6999999999999957,True,False,True
15060,18419280,4926000,10/04/15,ES079,G3188-001-108,0:09:04,1,41.9,1.26,35.6,28.7,0.22,46.57%,1.3730000000000002,238.4,2.291,0.0,0.0,0.0,1557.0,8.200000000000045,0.6999999999999957,True,False,True
15251,18419280,4926000,09/06/15,EV636,G3188-001-108,0:8:5:4:4,1,46.4,1.325,31.6,39.3,0.205,17.67%,0.0,0.0,1.966,0.0,0.0,0.0,1547.6,15.700000000000045,1.6000000000000014,True,False,True
15252,18419280,4926000,09/07/15,EV636,G3188-001-108,0:5:4:4,1,48.0,1.3230000000000002,31.7,39.7,0.207,16.88%,0.0,0.0,1.944,0.0,0.0,0.0,1563.3,15.700000000000045,1.6000000000000014,True,False,True
15283,18419280,4934000,09/05/15,EW168,G3188-001-108,0:08,1,38.1,1.34,36.2,45.9,0.21899999999999997,14.59%,0.0,0.0,2.0340000000000003,0.0,0.0,0.0,1535.4,24.09999999999991,0.6000000000000014,True,False,True
15284,18419280,4934000,09/06/15,EW168,G3188-001-108,0:04:04,1,38.7,1.344,34.5,41.8,0.203,19.63%,0.0,0.0,2.033,0.0,0.0,0.0,1559.5,24.09999999999991,0.6000000000000014,True,False,True
15528,18419280,4954000,09/05/15,FF655,G3188-001-108,0:08:05,1,46.1,1.37,37.4,49.3,0.25,9.84%,0.0,0.0,2.15,0.0,0.0,0.0,1548.3,13.799999999999955,1.1999999999999957,True,False,True
15529,18419280,4954000,09/07/15,FF655,G3188-001-108,0:05,1,47.3,1.369,35.5,45.1,0.23600000000000002,14.63%,0.0,0.0,2.134,0.0,0.0,0.0,1562.1,13.799999999999955,1.1999999999999957,True,False,True
16109,18420280,4970000,10/08/15,EU080,G3188-001-108,0:04:04,1,38.3,1.382,32.5,36.3,0.183,28.03%,1.3980000000000001,263.0,2.258,0.0,0.0,0.0,1569.6,16.299999999999955,1.0,True,False,True
16110,18420280,4970000,10/08/15,EU080,G3188-001-108,0:8:4:4,1,37.3,1.3969999999999998,31.1,34.8,0.17600000000000002,27.65%,0.0,0.0,2.3280000000000003,0.0,0.0,0.0,1553.3,16.299999999999955,1.0,True,False,True
16135,18420280,4970000,10/08/15,EU112,G3188-001-108,0:08,1,30.5,1.3969999999999998,38.5,44.2,0.20600000000000002,24.74%,0.0,0.0,2.394,0.0,0.0,0.0,1554.6,7.400000000000091,0.5,True,False,True
16137,18420280,4970000,10/10/15,EU112,G3188-001-108,0:04,1,30.0,1.395,37.5,43.0,0.20199999999999999,24.91%,1.399,253.4,2.3890000000000002,0.0,0.0,0.0,1562.0,7.400000000000091,0.5,True,False,True
16093,18420280,5080000,09/09/15,ET601,G3188-001-108,0:08,1,36.5,1.421,43.9,57.0,0.272,10.46%,0.0,0.0,2.366,0.0,0.0,0.0,1552.2,12.899999999999864,0.3999999999999986,True,False,True
16094,18420280,5080000,09/10/15,ET601,G3188-001-108,0:04,1,36.1,1.426,35.5,39.4,0.213,28.69%,0.0,0.0,2.381,0.0,0.0,0.0,1565.1,12.899999999999864,0.3999999999999986,True,False,True
16532,18420280,5080000,09/09/15,FF591,G3188-001-108,0:08,1,31.8,1.41,45.9,59.0,0.275,10.78%,0.0,0.0,2.351,0.0,0.0,0.0,1542.8,21.40000000000009,1.6000000000000014,True,False,True
16533,18420280,5080000,09/10/15,FF591,G3188-001-108,0:04:04,1,30.2,1.4069999999999998,31.6,34.3,0.179,30.54%,0.0,0.0,2.362,0.0,0.0,0.0,1564.2,21.40000000000009,1.6000000000000014,True,False,True
16553,18420280,5080000,09/09/15,FF613,G3188-001-108,0:08,1,32.1,1.3769999999999998,40.3,51.6,0.23800000000000002,11.73%,0.0,0.0,2.221,0.0,0.0,0.0,1549.6,23.800000000000182,0.19999999999999574,True,False,True
16554,18420280,5080000,09/10/15,FF613,G3188-001-108,0:04,1,32.3,1.371,35.5,39.2,0.201,29.14%,0.0,0.0,2.208,0.0,0.0,0.0,1573.4,23.800000000000182,0.19999999999999574,True,False,True
16216,18420280,4969000,09/10/15,EV651,G3188-001-108,0:8:4:4,1,42.1,1.3719999999999999,31.3,37.7,0.18899999999999997,20.32%,0.0,0.0,2.157,0.0,0.0,0.0,1551.0,8.0,1.6999999999999957,True,False,True
16217,18420280,4969000,09/11/15,EV651,G3188-001-108,0:04:04,1,43.8,1.3619999999999999,32.2,39.3,0.19699999999999998,18.95%,0.0,0.0,2.092,0.0,0.0,0.0,1559.0,8.0,1.6999999999999957,True,False,True
16326,18420280,4969000,09/10/15,EX654,G3188-001-108,0:08,1,36.1,1.392,37.3,47.1,0.223,14.31%,0.0,0.0,2.28,0.0,0.0,0.0,1552.7,13.700000000000045,1.0,True,False,True
16327,18420280,4969000,09/11/15,EX654,G3188-001-108,0:04:04,1,37.1,1.392,34.9,42.6,0.207,17.94%,1.422,266.7,2.271,0.0,0.0,0.0,1566.4,13.700000000000045,1.0,True,False,True
16339,18420280,4969000,09/09/15,EX668,G3188-001-108,0:08,1,32.7,1.403,41.2,50.1,0.23600000000000002,18.07%,0.0,0.0,2.367,0.0,0.0,0.0,1553.0,3.599999999999909,1.5999999999999943,True,False,True
16340,18420280,4969000,09/11/15,EX668,G3188-001-108,0:04:04,1,34.3,1.402,35.0,40.9,0.19899999999999998,22.64%,1.4240000000000002,266.7,2.358,0.0,0.0,0.0,1556.6,3.599999999999909,1.5999999999999943,True,False,True
16342,18420280,4969000,09/09/15,EX669,G3188-001-108,0:08,1,32.3,1.399,40.6,49.4,0.22899999999999998,18.27%,0.0,0.0,2.3409999999999997,0.0,0.0,0.0,1543.3,20.299999999999955,1.0,True,False,True
16343,18420280,4969000,09/10/15,EX669,G3188-001-108,0:08,1,32.4,1.4,40.4,49.0,0.228,18.79%,0.0,0.0,2.3480000000000003,0.0,0.0,0.0,1537.3,20.299999999999955,1.0,True,False,True
16344,18420280,4969000,09/11/15,EX669,G3188-001-108,0:04,1,33.3,1.396,36.4,42.7,0.204,22.31%,1.4180000000000001,266.7,2.3209999999999997,0.0,0.0,0.0,1557.6,20.299999999999955,1.0,True,False,True
16725,18420280,4955000,09/08/15,FV577,G3188-001-108,0:8:5:4:4,1,48.3,1.391,30.3,38.4,0.198,14.86%,0.0,0.0,2.174,0.0,0.0,0.0,1553.7,3.599999999999909,0.29999999999999716,True,False,True
16726,18420280,4955000,09/10/15,FV577,G3188-001-108,0:5:4:4,1,48.0,1.391,27.7,34.3,0.18,17.20%,0.0,0.0,2.167,0.0,0.0,0.0,1557.3,3.599999999999909,0.29999999999999716,True,False,True
17225,18420280,4955000,09/09/15,HH143,G3188-001-108,0:08,1,42.4,1.413,36.2,46.9,0.231,11.77%,0.0,0.0,2.331,0.0,0.0,0.0,1552.2,18.09999999999991,0.0,True,False,True
17226,18420280,4955000,09/10/15,HH143,G3188-001-108,0:04:04,1,42.4,1.4180000000000001,32.9,40.2,0.20600000000000002,18.50%,0.0,0.0,2.333,0.0,0.0,0.0,1570.3,18.09999999999991,0.0,True,False,True
17400,18420280,4956000,10/04/15,HL661,G3188-001-108,0:04,1,31.4,1.449,40.2,42.8,0.226,31.53%,0.0,0.0,2.582,0.0,0.0,0.0,1557.0,2.400000000000091,1.8999999999999986,True,False,True
17401,18420280,4956000,10/07/15,HL661,G3188-001-108,0:08,1,33.3,1.443,45.2,54.3,0.264,19.06%,0.0,0.0,2.494,0.0,0.0,0.0,1554.6,2.400000000000091,1.8999999999999986,True,False,True
17625,18422280,5006000,09/11/15,EX640,G3188-001-108,0:08:09,1,29.7,1.253,40.7,46.8,0.22899999999999998,23.57%,1.254,244.0,1.786,0.0,0.0,0.0,1550.6,11.800000000000182,1.3000000000000007,True,False,True
17626,18422280,5006000,09/12/15,EX640,G3188-001-108,0:09,1,31.0,1.246,41.5,48.3,0.233,22.25%,1.2429999999999999,248.0,1.729,0.0,0.0,0.0,1562.4,11.800000000000182,1.3000000000000007,True,False,True
17694,18422280,5006000,09/12/15,EY146,G3188-001-108,0:8:4:4,1,42.4,1.329,34.8,42.8,0.22,18.42%,0.0,0.0,1.9769999999999999,0.0,0.0,0.0,1548.7,10.5,0.0,True,False,True
17695,18422280,5006000,09/14/15,EY146,G3188-001-108,0:04:04,1,42.4,1.33,34.2,41.5,0.215,18.31%,1.337,255.1,1.969,0.0,0.0,0.0,1559.2,10.5,0.0,True,False,True
17711,18422280,5006000,09/11/15,FC585,G3188-001-108,0:8:4:4,1,40.4,1.254,33.7,41.7,0.203,17.32%,0.0,0.0,1.7080000000000002,0.0,0.0,0.0,1554.4,5.2999999999999545,1.2000000000000028,True,False,True
17712,18422280,5006000,09/12/15,FC585,G3188-001-108,0:04:04,1,41.6,1.248,33.1,39.9,0.19899999999999998,20.27%,0.0,0.0,1.672,0.0,0.0,0.0,1559.7,5.2999999999999545,1.2000000000000028,True,False,True
17838,18422280,5006000,09/11/15,FE147,G3188-001-108,0:8:4:4,1,39.9,1.318,30.9,36.5,0.188,21.85%,0.0,0.0,1.933,0.0,0.0,0.0,1553.2,2.599999999999909,0.3999999999999986,True,False,True
17839,18422280,5006000,09/14/15,FE147,G3188-001-108,0:04:04,1,39.5,1.321,32.1,39.0,0.196,18.58%,0.0,0.0,1.943,0.0,0.0,0.0,1555.8,2.599999999999909,0.3999999999999986,True,False,True
17844,18422280,5006000,09/10/15,FE154,G3188-001-108,0:08,1,38.1,1.284,35.7,43.7,0.21100000000000002,18.46%,0.0,0.0,1.83,0.0,0.0,0.0,1554.1,5.100000000000136,1.2999999999999972,True,False,True
17845,18422280,5006000,09/12/15,FE154,G3188-001-108,0:04:04,1,39.4,1.281,34.3,40.5,0.201,22.29%,0.0,0.0,1.806,0.0,0.0,0.0,1559.2,5.100000000000136,1.2999999999999972,True,False,True
17849,18422280,5006000,09/10/15,FE160,G3188-001-108,0:8:4:4,1,42.4,1.232,33.6,41.2,0.20199999999999999,18.76%,0.0,0.0,1.61,0.0,0.0,0.0,1548.7,10.099999999999909,0.8000000000000043,True,False,True
17850,18422280,5006000,09/12/15,FE160,G3188-001-108,0:04:04,1,43.2,1.224,31.5,36.7,0.185,23.98%,0.0,0.0,1.554,0.0,0.0,0.0,1558.8,10.099999999999909,0.8000000000000043,True,False,True
