Device_SN,PartNo_Select,Iop (mA),Ith (mA),Laser Temperature (Top) (C),Slope Efficiency (mW/mA),Optical Power (mW),SMSR (dB),Tracking Error_MIN (dB),Tracking Error_MAX (dB),Thermistor Resistance (Rth) (K-Ohm),B Consttant (K),CNR @ 61.25 MHz (dB),CNR @ 547.25 MHz (dB),CSO (dB),CTB (dB),Chirp (MHz/mW),Monitor Current (micro-A),Frequency Response (dB),
BFC4605,G1752-204-022,58.03,14.72166,28.94,0.238,10.54,46.14,-0.04,0.08,8.436,3952,53.5,54,41.6,73.1,333.17,327.2,0.75,
BFC4607,G1752-204-022,63.04,13.9173,25.83,0.208,10.5,50.33,-0.27,0.04,9.627,3938.4,53,53.7,41.2,69.4,373.42,441.6,0.8,
BFC6206,G1752-204-022,62.81,15.03627,28.39,0.22,10.52,48.63,-0.04,0.08,8.634,3949.5,52.9,53.8,42.2,65,345.13,555.2,0.78,
BFC5238,G1752-204-022,69.54,15.2284,27.98,0.19,10.51,49.41,-0.23,0.02,8.782,3946.4,52.2,53.4,41.6,70.7,333.55,739.2,1.15,
BFC4734,G1752-204-026,91.05,18.82485,27.06,0.144,10.52,52.1,-0.07,0.01,9.135,3943.8,52.9,53.5,42.2,71.9,326.31,890.5,0.81,
BFC4741,G1752-204-026,84.04,16.82379,26.71,0.155,10.51,46.81,-0.06,0.01,9.281,3945.6,53,54.1,41.7,73,330.02,607.1,0.78,
BFC4728,G1752-204-026,86.74,14.96014,27.1,0.145,10.5,53.69,-0.26,0.19,9.122,3944.9,52.5,53.5,43.1,69.6,332.02,542.9,0.7,
BFC3522,G1752-204-026,70.27,19.05493,29.32,0.204,10.53,49.61,-0.02,0.09,8.299,3952.2,52.7,53.5,42.7,70.4,310.61,562.1,1.03,
BFC5437,G1752-204-054,67.04,13.69838,22.43,0.193,10.55,48.86,-0.25,0.18,11.245,3949.8,52.2,53.7,42.4,74,331.2,518.7,1.09,
BFC2165,G1752-204-030,85.55,14.36204,25.95,0.147,10.5,50.72,-0.1,0.03,9.581,3940.1,51.7,53.1,42.7,72.8,330.68,488,1.39,
BFC2604,G1752-204-033,74.54,13.80297,24.15,0.172,10.53,51.98,-0.06,0.02,10.42,3953.4,52.7,53.3,42.6,70.4,332.34,520.4,1.39,
CFBB215,G1752-204-024,72.04,16.20292,27.28,0.187,10.55,52.46,-0.19,0.01,9.05,3944.7,52.9,53.3,42.1,72.8,339.66,581.1,0.72,
BFC5417,G1752-204-054,67.28,14.52355,25.47,0.192,10.5,49.17,-0.14,0.08,9.759,3930.9,52.5,53.9,43.1,74,337.51,483.7,1.22,
BFC4658,G1752-204-026,75.54,19.70984,29.13,0.188,10.5,50.3,-0.16,0.27,8.377,3956.6,52.3,53.9,41.6,68.4,339.58,612.7,0.65,
BFC5332,G1752-204-022,63.78,17.35973,32.29,0.222,10.54,50.86,-0.13,0.05,7.298,3945.7,53,53.5,41.7,71.6,318.56,307.6,0.77,
CFB9763,G1752-204-029,69.79,14.96978,24.71,0.193,10.53,52.1,-0.23,0.13,10.149,3949,52.4,53.3,43.7,66.5,313.08,330.7,0.8,
BFC5202,G1752-204-022,71.04,15.07828,30.96,0.186,10.51,48.13,-0.01,0.26,7.73,3949.9,52.2,53.7,41.4,66,368.18,930.8,0.94,
CFB9492,G1752-204-020,93.28,19.53287,27.04,0.141,10.53,52.53,-0.21,0.02,9.158,3949.6,51.3,52.4,42.7,67,329.66,578.4,1.04,
CFB5822,G1752-204-021,61.28,15.40314,31.44,0.225,10.55,49.52,-0.09,0.01,7.586,3956.9,53,53.7,41.4,72.4,344.94,449,0.69,
BFC3412,G1752-204-026,72.82,15.76976,23.3,0.183,10.51,51.24,-0.01,0.24,10.817,3951.1,52.2,53.4,42.6,71,315.57,472.6,0.82,
BFC4764,G1752-204-027,82.29,17.17726,25.56,0.158,10.5,50.85,-0.05,0.11,9.719,3930.5,52.4,52.8,42.7,71.4,336.65,601.4,0.71,
CFB9738,G1752-204-029,95.79,18.63991,25.56,0.133,10.5,49.61,-0.22,0.28,9.721,3931.2,51.5,53.1,41.6,71.5,331.66,826.2,1.21,
CFB5743,G1752-204-020,86.54,17.69071,29.94,0.151,10.51,50.16,-0.07,0.28,8.07,3947.2,52,53.4,42.1,71.3,356.34,542.5,1.12,
BFC3476,G1752-204-026,83.76,18.34415,24.24,0.159,10.52,48.01,-0.18,0.03,10.38,3953.9,52.4,53.2,42.7,70.9,347.78,523.6,0.88,
BFC4691,G1752-204-026,81.54,18.99127,26.81,0.164,10.52,46.73,-0.02,0.01,9.238,3944.7,51.5,52.7,42.2,66.3,327.42,436,0.81,
BFC4683,G1752-204-026,83.51,18.2352,28.04,0.159,10.52,51.4,-0.06,0.09,8.769,3950.6,53.3,54,41.1,71.1,351.61,626.2,0.64,
BFC4676,G1752-204-026,84.55,20.07754,29.71,0.163,10.52,53.21,-0.25,0.25,8.161,3952.4,51.7,53.2,42.1,73,354.11,716.7,0.76,
BFC3452,G1752-204-026,79.1,16.3142,23.97,0.166,10.51,46.31,-0.08,0.07,10.503,3953,52,53,42.9,69.9,345.02,568.4,0.95,
BFC4723,G1752-204-026,91.01,16.23443,26.38,0.14,10.53,47.18,-0.02,0.26,9.412,3943.9,52.7,53.8,42.6,71.9,319.56,560.9,0.97,
BFC4690,G1752-204-026,81.77,18.41906,30,0.165,10.53,51.81,-0.1,0.11,8.051,3948.1,52.2,53,42.6,70.2,314.87,592.7,1.09,
BFC4731,G1752-204-026,98.04,16.66493,26.38,0.128,10.5,47.28,-0.29,0.15,9.412,3943.9,53,53.8,42.4,70.5,380.55,941.7,0.68,
BFC4695,G1752-204-026,78.34,15.78418,29.6,0.164,10.5,50.53,-0.21,0.09,8.195,3950.1,52.5,53.5,42.6,71.4,342.31,500.3,1.06,
BFC4694,G1752-204-026,84.53,17.60889,30.23,0.155,10.52,51.6,-0.18,0.03,7.987,3955.7,52.9,53.7,41.7,73.3,360.03,576.5,0.99,
BFC4686,G1752-204-026,80.52,17.54313,30.35,0.164,10.54,51.2,-0.26,0.27,7.918,3941.5,53.7,54,40.9,72.7,361.34,391.9,1.11,
BFC4704,G1752-204-026,82.53,17.18277,29.78,0.16,10.52,45.05,-0.02,0.18,8.126,3947.4,53.1,53.6,41.4,70.6,349.35,457.3,0.54,
BFC4687,G1752-204-026,81.78,16.18027,30.59,0.158,10.54,52.6,-0.19,0.01,7.851,3948.7,52.9,53.7,41.2,71.6,347.61,584.5,1.26,
BFC4671,G1752-204-026,75.78,16.78411,28.17,0.174,10.52,50.87,-0.26,0.14,8.708,3945.7,53,53.9,41.6,72.1,358.39,552.8,0.95,
BFC4698,G1752-204-026,80.03,17.76952,29.24,0.165,10.54,51.35,-0.02,0.18,8.327,3951.9,52.3,53.1,41.7,71.1,334.89,475.8,1.01,
BFC3551,G1752-204-026,77.48,17.97911,24.44,0.172,10.51,46.69,-0.03,0.11,10.301,3958.1,52.6,53.1,41.7,69.1,322.97,507.5,0.91,
BFC4611,G1752-204-022,66.29,14.40292,32.54,0.201,10.53,49.52,-0.22,0.08,7.239,3956.6,52.8,53.4,42.2,69.7,331.38,322.4,0.82,
BFC4669,G1752-204-026,84.53,19.27134,32.17,0.159,10.52,47.89,-0.11,0.01,7.342,3949.8,53,53.7,41.1,68.9,349.25,668.4,0.88,
BFC3545,G1752-204-026,83.55,17.26325,27.16,0.156,10.54,50.31,-0.18,0.22,9.086,3940.2,53,53.6,41.6,70.2,353.82,567.5,0.96,
BFC4681,G1752-204-026,83.04,19.61089,29.15,0.162,10.5,49.36,-0.26,0.15,8.362,3953,52.8,53.4,41.6,71.4,351.98,443.1,0.82,
BFC4689,G1752-204-026,83.8,15.28212,30.63,0.152,10.5,52.37,-0.03,0.14,7.843,3951.5,52.8,53.2,41.9,69.2,352.13,653.3,1.15,
BFC4675,G1752-204-026,79.27,18.47817,29.98,0.167,10.5,47.6,-0.15,0.01,8.05,3944.2,53.5,53.9,40.7,68,389.86,497.1,0.9,
BFC4673,G1752-204-026,72.07,19.95647,30.1,0.197,10.56,48.65,-0.12,0.07,8.016,3947.8,52.3,52.7,42.1,70.1,349.57,311.2,0.78,
BFC5205,G1752-204-022,58.52,17.47634,28.59,0.247,10.51,42.98,-0.2,0.03,8.551,3945.8,52.8,53.2,41.7,67.4,321.72,354.6,0.8,
BFC5192,G1752-204-022,72.81,20.79315,31.7,0.2,10.55,42.51,-0.22,0.3,7.492,3951,53.3,53.2,40.7,72.1,361.46,533.2,0.84,
BFC5290,G1752-204-022,70.36,13.60612,27.45,0.182,10.51,50.2,-0.3,0.21,8.977,3942.3,53.1,53.9,41.4,64.2,352.16,838.7,0.86,
BFC0317,G1752-204-023,82.3,14.02772,22.29,0.153,10.51,49.53,-0.12,0.22,11.283,3941.1,52.4,53.4,42.1,70.5,358.11,361.6,0.85,
BFC3610,G1752-204-022,65.02,12.01327,24.69,0.192,10.5,48.52,-0.05,0.05,10.156,3948.4,52.8,53.7,41.9,71.7,336.19,492.5,1.23,
BFC5330,G1752-204-022,80.28,19.35878,28.8,0.169,10.51,51.37,-0.05,0.04,8.487,3951.8,53.1,53.4,41.4,71.4,366.06,241.5,0.83,
BFC4641,G1752-204-023,65.87,16.7883,24.07,0.21,10.52,44.36,-0.15,0.01,10.432,3945.7,52.8,53.6,41.4,71.7,381.16,482.8,0.65,
BFC5346,G1752-204-022,75.05,16.43949,29.85,0.176,10.5,44.8,-0.15,0.27,8.098,3945.6,52.6,53.6,41.7,68.9,364.34,621.3,0.73,
BFC4633,G1752-204-022,70.71,13.32027,33.31,0.18,10.5,52.09,-0.04,0.04,7.014,3961,52.3,53.1,42.4,69.8,353.32,277.8,0.86,
BFC1084,G1752-204-022,70.28,14.48665,21.81,0.186,10.5,51.32,-0.04,0.1,11.559,3948.2,52.6,53.2,42.6,70.5,338.87,514.4,0.88,
BFC3627,G1752-204-022,66.53,15.18677,24.6,0.202,10.53,49.9,-0.18,0.02,10.2,3949.4,52.4,53.2,41.4,70.6,350.95,580.7,1.25,
BFC3628,G1752-204-022,75.29,14.82069,23.8,0.177,10.54,51.13,-0.1,0.16,10.572,3949.6,52.1,53.4,41.9,66.2,340.24,841.8,1.15,
BFC3624,G1752-204-022,64.04,14.42219,24.48,0.207,10.5,49.65,-0.03,0.04,10.26,3951,52.6,53.6,41.9,71.9,348.65,556.8,0.68,
BFC4755,G1752-204-027,74.78,15.52552,27.3,0.173,10.5,50.41,-0.03,0.13,9.047,3946.7,52.8,53.9,42.1,71.9,349.81,537.6,0.86,
BFC5326,G1752-204-022,76.02,14.9354,27.06,0.169,10.52,49.96,-0.07,0.07,9.135,3943.8,52.8,53.9,42.2,69.9,336.8,444.8,1.39,
BFC4750,G1752-204-027,77.57,14.67123,24.16,0.163,10.5,50.81,-0.09,0.01,10.409,3951.4,52.8,53.7,42.1,71.2,350.44,417.1,0.88,
BFC5351,G1752-204-022,87.29,19.22456,30.01,0.15,10.5,52.06,-0.02,0.12,8.052,3950.3,52.5,53.4,41.6,71.1,347.91,446.9,1.07,
BFC4700,G1752-204-026,73.78,18.27321,29.7,0.185,10.52,48.48,-0.06,0.09,8.16,3950.2,53.1,53.4,41.6,71.1,338.51,308.4,1.05,
BFC5263,G1752-204-022,77.3,18.19237,30.77,0.173,10.55,47.12,-0.04,0.17,7.786,3946.1,52.1,52.7,40.9,70.7,370.31,886.8,1.24,
BFC5250,G1752-204-022,85.51,16.4893,30.67,0.148,10.52,49.27,-0.08,0.02,7.821,3947,52.8,54.1,41.6,70.4,362.13,240.9,1.3,
BFC5207,G1752-204-022,62.79,15.46128,26.96,0.219,10.52,43.87,-0.08,0.23,9.172,3942.6,52.6,53.6,41.9,71.9,345.83,482.9,0.81,
BFC5272,G1752-204-022,79.56,13.99933,28.76,0.154,10.5,51.65,-0.2,0.02,8.477,3940.8,52.6,53.6,41.4,70.2,360.33,648,1.26,
BFC5323,G1752-204-022,76.78,15.07152,30.44,0.168,10.5,51.5,-0.01,0.28,7.913,3954.5,52.8,53.7,41.4,71.3,343.33,262.8,1.3,
BFC5275,G1752-204-022,99.03,17.50281,29.39,0.128,10.54,50.1,-0.01,0.14,8.27,3950.3,52.6,53.2,42.2,71.4,330.76,416.1,0.64,
BFC3537,G1752-204-026,79.77,18.16109,25.65,0.169,10.5,52.33,-0.01,0.07,9.718,3943.4,52.4,53.3,42.9,70.2,347.71,629.1,1.22,
BFC2164,G1752-204-030,86.8,18.17383,26.64,0.156,10.51,50.16,-0.09,0.01,9.315,3947.6,51.7,52.8,43.4,66.7,335.76,855.4,1.08,
BFB0413,G1752-204-024,76.55,16.18513,29.17,0.173,10.54,51.15,-0.14,0.22,8.332,3942.5,52.7,53.3,41.9,71.5,360.82,820,1.15,
BFC3478,G1752-204-026,77.01,16.85926,24.14,0.172,10.51,50.75,-0.08,0.08,10.431,3955.3,53,54,42.6,71,335.23,411.4,0.73,
BFC4742,G1752-204-026,74.02,14.26641,25,0.173,10.53,51.13,-0.14,0.14,10.014,3947.4,52.8,53.5,42.9,69.9,339.79,580.3,0.71,
BFC4699,G1752-204-026,80.29,18.07113,28.41,0.166,10.53,49.35,-0.19,0.03,8.631,3951.4,52.7,53.3,42.4,70.4,358.88,397.5,1.11,
BFC4732,G1752-204-026,89.3,17.52752,28.23,0.145,10.5,51.59,-0.16,0.16,8.699,3951.5,53.2,54,42.2,69,349.92,726.4,0.75,
BFC4497,G1752-204-022,71.25,18.97208,30.32,0.195,10.52,51.31,-0.06,0.1,7.944,3949.5,52.7,53.3,42.6,72.1,368.75,371.9,0.74,
BFC4763,G1752-204-027,79.01,18.08619,25.91,0.17,10.53,50.84,-0.2,0.26,9.573,3931.4,52.4,53.3,42.9,71.4,343.82,570.7,0.84,
BFC4677,G1752-204-026,83,17.91905,29.34,0.159,10.53,51.99,-0.06,0.08,8.302,3956.9,52.5,53.3,42.6,70.4,372.7,542.9,0.56,
BFC4749,G1752-204-027,76.05,16.75035,27.16,0.173,10.55,49.54,-0.04,0.11,9.087,3940.6,52.7,53.3,42.2,69.4,343.01,341.3,0.85,
BFC4680,G1752-204-026,82.04,21.91938,29.82,0.172,10.5,48.81,-0.01,0.21,8.123,3952.7,52.8,53.3,41.1,70.1,363.39,560.5,0.99,
BFC4644,G1752-204-022,68.54,14.87174,31.9,0.194,10.5,52.03,-0.02,0.15,7.434,3954.1,52.8,53.5,41.7,68.9,383.24,477.8,0.65,
BFC4743,G1752-204-026,73.29,15.66418,27.72,0.18,10.52,43.24,-0.09,0.27,8.886,3948.1,52.4,53.2,41.9,71.3,356.47,518,0.74,
BFC5285,G1752-204-022,78.29,18.87571,32.21,0.178,10.51,52.01,-0.1,0.01,7.334,3952.4,52.4,53.2,42.4,64,378.29,575.3,1.48,
BFC4639,G1752-204-022,66.55,14.22488,28.35,0.2,10.53,49.1,-0.1,0.29,8.64,3945.6,52.5,53.5,42.7,68,379.44,303,0.75,
BFC4656,G1752-204-026,73.3,18.38669,27.38,0.191,10.51,50.02,-0.04,0.19,9.013,3945.7,52.2,53.2,42.9,67,354.88,601,0.86,
BFC4672,G1752-204-026,71.29,19.58572,28.99,0.198,10.5,49,-0.03,0.16,8.406,3946.6,52.8,53,41.9,72.1,355.79,416.1,0.76,
BFC4701,G1752-204-026,74.78,17.41527,28.62,0.181,10.52,43.03,-0.04,0.17,8.55,3950.3,53,53.3,42.4,70.3,340.73,374.6,0.73,
BFC4674,G1752-204-026,73.79,20.18288,30.38,0.193,10.53,49.37,-0.02,0.22,7.918,3946.7,52.7,53.2,42.2,70.6,365.12,451.5,0.63,
BFC5365,G1752-204-022,64.3,13.59033,28.03,0.198,10.52,52.54,-0.23,0.01,8.779,3953.2,51.5,52.5,43.2,70.3,381.89,597.2,0.96,
BFC1969,G1752-204-022,62.03,13.40778,22.34,0.214,10.55,50.35,-0.04,0.28,11.295,3950.9,53,53.8,42.6,72.3,363.38,538.3,1.26,
BFC4685,G1752-204-026,77.54,17.42815,30.3,0.17,10.51,51.88,-0.08,0.28,7.955,3951.6,52.9,53.5,42.2,72.5,356.81,490.8,0.74,
BFC4678,G1752-204-026,77.79,21.18102,30.72,0.179,10.52,50.5,-0.27,0.24,7.822,3956.3,52.4,53,42.6,64.8,332.99,411.6,0.95,
BFC4684,G1752-204-026,81.34,18.13725,27.74,0.163,10.53,50.15,-0.04,0.01,8.882,3949.6,52.5,53.2,42.4,70.1,356.59,614.7,0.64,
BFC4692,G1752-204-026,82.02,18.16917,29.76,0.163,10.53,52.37,-0.1,0.14,8.125,3943.5,52.3,53.3,42.6,71.8,354.29,537.5,0.61,
BFC4721,G1752-204-026,98.79,21.47886,29.28,0.133,10.52,48.12,-0.06,0.04,8.297,3944.6,52.5,53.3,42.4,70.8,361.6,384.3,0.71,
BFC4654,G1752-204-026,74.05,20.20444,30.31,0.193,10.54,45.67,-0.2,0.28,7.957,3954.4,52.8,53.5,41.9,72.6,363.49,444.2,0.79,
BFC4693,G1752-204-026,76.03,21.52877,28.76,0.186,10.5,46.73,-0.17,0.04,8.477,3940.8,52.9,53.3,41.9,66.3,360.5,210.3,0.56,
CFB8954,G1752-204-030,77.53,12.71275,22.94,0.164,10.5,49.16,-0.08,0.07,11.001,3953.1,52.5,52.8,42.6,65.3,351.02,569.5,1.31,
BFC4500,G1752-204-022,68.75,18.28003,29.92,0.202,10.5,49.08,-0.11,0.13,8.087,3952.2,51.9,52.3,43.2,72,348.25,347.8,0.97,
BFC5344,G1752-204-022,73.03,17.5237,29.63,0.187,10.52,45.6,-0.05,0.26,8.193,3954.2,51.9,52.5,43.2,69.4,340.63,579.7,0.67,
BFC4527,G1752-204-022,64.82,17.0576,30.56,0.218,10.53,51.26,-0.05,0.01,7.845,3940.3,51.5,52,43.4,69.1,324.82,385.1,0.86,
BFC5339,G1752-204-023,65.49,13.53033,21.58,0.199,10.5,51.26,-0.23,0.14,11.676,3947.2,51.5,52.5,43.1,70.1,379.06,611.8,0.73,
BFC4499,G1752-204-022,68.27,17.55146,28.92,0.201,10.54,50.18,-0.14,0.03,8.44,3950.5,51.7,52.2,43.6,68.7,334.45,352.3,1.17,
BFC4545,G1752-204-022,61.3,15.54511,28.76,0.227,10.52,51.48,-0.25,0.06,8.478,3941.3,51.3,52.5,44.1,70.1,323.02,570.1,1.29,
BFC4535,G1752-204-022,61.53,15.61858,28.13,0.225,10.5,48.84,-0.2,0.27,8.737,3951.5,51.3,52.1,43.4,70.6,348.68,276.6,1.16,
BFC4544,G1752-204-022,57.28,14.64884,28.93,0.242,10.5,49.95,-0.02,0.11,8.438,3951.2,51.5,52.1,43.2,69.8,326.53,423.2,0.86,
BFC4533,G1752-204-022,72.26,16.5615,28.63,0.186,10.52,49.23,-0.25,0.24,8.542,3948.4,52.2,53.2,42.6,67.6,375.91,517.4,0.83,
BFC4529,G1752-204-022,62.3,16.39139,29.94,0.226,10.52,49.06,-0.01,0.19,8.084,3954.1,51.7,52.5,43.2,69.4,348.3,515.9,0.99,
BFC4498,G1752-204-022,64.03,17.72818,29.12,0.222,10.54,44.31,-0.18,0.15,8.366,3949.9,51.8,52.3,43.9,69.8,364.53,346.9,1.25,
BFC4524,G1752-204-022,66.52,18.93709,29.98,0.22,10.52,50.48,-0.23,0.01,8.053,3945.7,51.5,52.1,43.4,66.8,330.44,417.1,1.11,
BFC5348,G1752-204-022,64.03,15.89649,31.07,0.215,10.52,46.38,-0.09,0.12,7.696,3951.1,51.7,52.1,43.1,70.1,323.84,509.4,0.7,
BFC4516,G1752-204-022,65.27,16.69954,29.27,0.214,10.53,49.91,-0.12,0.23,8.296,3942.5,51.4,52,43.4,69.4,351.68,501.5,1.39,
BFC4505,G1752-204-022,65.83,15.08745,29.98,0.204,10.55,52.05,-0.24,0.25,8.05,3944.2,51.7,52.2,42.9,70.9,348.76,181.9,0.82,
BFB3575,G1752-204-051,72.52,18.46431,28.51,0.188,10.53,47.11,-0.09,0.25,8.593,3951.2,51.7,52.3,44.2,68.6,328.53,321.5,0.59,
BFC3589,G1752-204-026,90.03,14.6093,25.34,0.138,10.51,46.67,-0.04,0.1,9.865,3947.7,52.2,52.8,42.6,70.6,330.58,520.3,1.22,
BFC2414,G1752-204-022,82.04,14.21729,28.1,0.153,10.5,50.33,-0.05,0.17,8.743,3949.3,51.2,52,43.6,69.1,336.78,287.5,1.1,
CFBA579,G1752-204-022,83.29,18.57858,28.85,0.159,10.52,48.93,-0.18,0.07,8.442,3939.9,51.7,52.5,43.1,70.4,348.42,748.5,0.81,
